"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"DFE-2457","N/D","SCS1","Deputy Director","HR Business Partners, Strategy and Talent Deputy Director","Department for Education","Department for Education","HR Business Partners, Strategy and Talent","0370 000 2288","N/D","DFE-2566","0","0.70","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2461","N/D","SCS1","Deputy Director","Technology Operations Deputy Director","Department for Education","Department for Education","Technology Operations","0370 000 2288","N/D","DFE-2124","6052546","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2470","N/D","SCS1","Deputy Director","International Evidence and Trade Deputy Director","Department for Education","Department for Education","International Surveys, Trade and Security","0370 000 2288","N/D","DFE-2517","876859","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2475","N/D","SCS1","Deputy Director","DDT Incubator Deputy Director","Department for Education","Department for Education","DDT Incubator","0370 000 2288","N/D","DFE-2124","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2478","N/D","SCS1","Deputy Director","Customer Experience & Design Deputy Director","Department for Education","Department for Education","Customer Experience & Design","0370 000 2288","N/D","DFE-2124","2280760","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2485","N/D","SCS1","Deputy Director","Cyber and Information Security Deputy Director","Department for Education","Department for Education","Cyber and Information Security (CISO)","0370 000 2288","N/D","DFE-2124","1992586","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2486","N/D","SCS1","Deputy Director","The Apprenticeships Service​ Deputy Director","Department for Education","Department for Education","The Apprenticeships Service (DDAT)​","0370 000 2288","N/D","DFE-2124","4962885","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2489","N/D","SCS1","Deputy Director","Data, Performance and Corporate Operations Division Deputy Director","Department for Education","Department for Education","Data, Performance and Corporate Operations Division","0370 000 2288","N/D","DFE-2317","1079574","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2497","Warwick Sharp","SCS2","Director","Strategy and Delivery Directorate Director","Department for Education","Department for Education","Delivery Unit","0370 000 2288","N/D","DFE-2543","563779","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2498","N/D","SCS1","Deputy Director","CS Policy Profession Unit Deputy Director","Department for Education","Department for Education","CS Policy Profession Unit","0370 000 2288","N/D","DFE-2517","444245","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2501","N/D","SCS1","Deputy Director","Delivery Unit Deputy Director","Department for Education","Department for Education","Delivery Unit","0370 000 2288","N/D","DFE-2497","1133904","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2503","N/D","SCS1","Deputy Director","Digital Delivery - Vulnerable Families & Children Deputy Director","Department for Education","Department for Education","Digital Delivery - Vulnerable Families & Children","0370 000 2288","N/D","DFE-2124","2121080","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2504","N/D","SCS1","Deputy Director","Schools Digital Deputy Director","Department for Education","Department for Education","Schools Digital","0370 000 2288","N/D","DFE-2312","6809383","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2507","N/D","SCS1","Deputy Director","Midlands and South West Division Deputy Director","Department for Education","Department for Education","Midlands and South West Division","0370 000 2288","N/D","DFE-2317","2328998","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2508","N/D","SCS1","Deputy Director","London, South East and East of England Division Deputy Director","Department for Education","Department for Education","London, South East and East of England Division","0370 000 2288","N/D","DFE-2317","2193561","1.00","N/A","N/A","","Other","Unknown","nan","1"
"DFE-2514","N/D","SCS1","Deputy Director","Regions Group: North West Deputy Director","Department for Education","Department for Education","Regions Group: North West","0370 000 2288","N/D","DFE-2062","2897761","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2516","N/D","SCS1","Deputy Director","Student Funding Policy​ Deputy Director","Department for Education","Department for Education","Student Funding Policy​","0370 000 2288","N/D","DFE-2307","1086627","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2517","Donna Ward","SCS2","Director","Director of Strategic Policy","Department for Education","Department for Education","Strategic Policy Directorate (SPD)","0370 000 2288","N/D","DFE-2543","3097236","1.00","130000","N/A","","Other","London","nan","1"
"DFE-2519","N/D","SCS1","Deputy Director","Widening Participation and Student Experience Deputy Director","Department for Education","Department for Education","Admissions, Participation and Student Experience Division","0370 000 2288","N/D","DFE-2306","1305853","0.50","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2520","N/D","SCS1","Deputy Director","Skills Policy Analysis​ Deputy Director","Department for Education","Department for Education","Skills Policy Analysis​","0370 000 2288","N/D","DFE-2019","2358402","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2522","Sarah Maclean","SCS2","Director","Job Share - Skills England CEO","Department for Education","Skills England","Skills England CEO","0370 000 2288","N/D","DFE-2137","376236","1.00","85000","N/A","","Other","London","Job Share","1"
"DFE-2522","Tessa Griffiths","SCS2","Director","Job Share - Skills England CEO","Department for Education","Skills England","Skills England CEO","0370 000 2288","N/D","DFE-2137","376236","1.00","85000","N/A","","Other","London","Job Share","1"
"DFE-2527","N/D","SCS1","Deputy Director","HR Policy, Pay, Specialist Advice and Employee Relations Deputy Director","Department for Education","Department for Education","HR Policy, Pay, Specialist Advice and Employee Relations","0370 000 2288","N/D","DFE-2566","1460101","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2533","N/D","SCS1","Deputy Director","Attendance Deputy Director","Department for Education","Department for Education","Attendance","0370 000 2288","N/D","DFE-2326","1449049","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2534","Ian Knowles","SCS2","Director","Strategic Analysis, Research, Data, Intelligence & Science Director","Department for Education","Department for Education","Strategic Analysis, Research, Data, Intelligence & Science (SARDIS)","0370 000 2288","N/D","DFE-2543","433617","1.00","115000","N/A","","Other","London","nan","1"
"DFE-2535","N/D","SCS1","Deputy Director","Assessment Research and Development Deputy Director","Department for Education","Standard and Testing Agency","Assessment Research and Development","0370 000 2288","N/D","DFE-2135","2619311","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2536","Jane Cunliffe","SCS3","Director General","Director General of Operations and Infrastructure Group","Department for Education","Department for Education","Operations and Infrastructure Group","0370 000 2288","N/D","DFE-2071","5878961","1.00","155000","N/A","","Other","London","nan","1"
"DFE-2541","N/D","SCS1","Deputy Director","Teacher Training and Recruitment Deputy Director","Department for Education","Department for Education","Teacher Training and Recruitment","0370 000 2288","N/D","DFE-2621","2796661","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2542","N/D","SCS1","Deputy Director","V Levels & Cross-Cutting Engagement Deputy Director","Department for Education","Department for Education","V Levels & Cross-Cutting Engagement","0370 000 2288","N/D","DFE-2696","937963","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2543","Tony Foot","SCS3","Director General","Director General of Strategy Group","Department for Education","Department for Education","Strategy Group","0370 000 2288","N/D","DFE-2071","1180621","1.00","150000","N/A","","Other","London","nan","1"
"DFE-2544","N/D","SCS1","Deputy Director","Job Share - Breakfast Clubs, Wraparound Childcare and HAF Deputy Director","Department for Education","Department for Education","Breakfast Clubs, Wraparound Childcare and HAF","0370 000 2288","N/D","DFE-2326","3280852","1.00","N/A","N/A","","Other","London","Job Share","1"
"DFE-2544","N/D","SCS1","Deputy Director","Job Share - Breakfast Clubs, Wraparound Childcare and HAF Deputy Director","Department for Education","Department for Education","Breakfast Clubs, Wraparound Childcare and HAF","0370 000 2288","N/D","DFE-2326","3280852","1.00","N/A","N/A","","Other","London","Job Share","1"
"DFE-2546","Susie Owen","SCS2","Director","Director of Early Years","Department for Education","Department for Education","Early Years Directorate","0370 000 2288","N/D","DFE-2101","1721574","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2551","N/D","SCS1","Deputy Director","Families Group Central Deputy Director","Department for Education","Department for Education","Families Group Central","0370 000 2288","N/D","DFE-2078","1634653","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2553","Corinne Richardson","SCS2","Director","Director of Data","Department for Education","Department for Education","Data Directorate","0370 000 2288","N/D","DFE-2536","534779","1.00","90000","N/A","","Other","East Midlands","nan","1"
"DFE-2554","N/D","SCS1","Deputy Director","Teachers' Pension Scheme Deputy Director","Department for Education","Department for Education","Teachers' Pension Scheme","0370 000 2288","N/D","DFE-2621","2246156","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2555","Alison Wilson","SCS2","Director","Regions Group: Yorkshire & Humber Director","Department for Education","Department for Education","Regions Group: Yorkshire & Humber","0370 000 2288","N/D","DFE-2302","181077","1.00","110000","N/A","","Other","North East","nan","1"
"DFE-2557","N/D","SCS1","Deputy Director","Advanced Analytics Deputy Director","Department for Education","Department for Education","Advanced Analytics Division","0370 000 2288","N/D","DFE-2534","1727737","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2558","N/D","SCS1","Deputy Director","CSC Social Worker Training, Development and Leadership Deputy Director","Department for Education","Department for Education","CSC Social Worker Training, Development and Leadership","0370 000 2288","N/D","DFE-2320","2449008","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2559","N/D","SCS1","Deputy Director","Open Innovation Deputy Director","Department for Education","Department for Education","Open Innovation","0370 000 2288","N/D","DFE-2517","1020228","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2562","Andrew Thomas","SCS2","Director","Director of Corporate, Assurance and Restructuring","Department for Education","Department for Education","Funding and Financial Oversight","0370 000 2288","N/D","DFE-2536","574281","1.00","125000","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2563","N/D","SCS1","Deputy Director","Regions Group: East of England Deputy Director","Department for Education","Department for Education","Regions Group: East of England","0370 000 2288","N/D","DFE-2083","2180187","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2565","Michael Sunderland","SCS2","Director","Director of Operational Finance","Department for Education","Department for Education","Operational Finance","0370 000 2288","N/D","DFE-2536","460221","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2566","Naomi Ramsay","SCS2","Director","Director of HR and Transformation","Department for Education","Department for Education","HR","0370 000 2288","N/D","DFE-2536","466013","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2567","N/D","SCS1","Deputy Director","Schools and Funding Analysis Deputy Director","Department for Education","Department for Education","Schools and Funding Analysis","0370 000 2288","N/D","DFE-2312","3413428","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2568","Jane Balderstone","SCS2","Director","Capital Delivery Director","Department for Education","Department for Education","Capital Delivery","0370 000 2288","N/D","DFE-2536","1862998","1.00","110000","N/A","","Other","North West","nan","1"
"DFE-2570","N/D","SCS1","Deputy Director","Skills Strategy and Delivery Deputy Director","Department for Education","Department for Education","Skills Group","0370 000 2288","N/D","DFE-2367","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2571","N/D","SCS1","Deputy Director","SEND Strategy Deputy Director","Department for Education","Department for Education","SEND Strategy","0370 000 2288","N/D","DFE-2298","1766645","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2572","N/D","SCS1","Deputy Director","Regions Group: Yorkshire and the Humber Deputy Director","Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","0370 000 2288","N/D","DFE-2555","2224453","0.80","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2577","Ian Coates","SCS2","Director","Regions Group: National Director","Department for Education","Department for Education","Regions Group: National","0370 000 2288","N/D","DFE-2302","1055614","0.66","70000","N/A","","Other","London","nan","1"
"DFE-2583","N/D","SCS1","Deputy Director","CS Policy Profession Unit Deputy Director","Department for Education","Department for Education","CS Policy Profession Unit","0370 000 2288","N/D","DFE-2517","1672811","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2596","N/D","SCS1","Deputy Director","Skills Strategy and Engagement Deputy Director","Department for Education","Department for Education","Skills Strategy and Engagement","0370 000 2288","N/D","DFE-2367","1249276","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2598","Jonathan Dewsbury","SCS2","Director","Director of Education Estates","Department for Education","Department for Education","Education Estates","0370 000 2288","N/D","DFE-2536","779460","1.00","110000","N/A","","Other","London","nan","1"
"DFE-2601","N/D","SCS1","Deputy Director","Enterprise Data for Funding and Oversight Deputy Director","Department for Education","Department for Education","Enterprise Data for Funding and Oversight","0370 000 2288","N/D","DFE-2553","3449744","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2603","N/D","SCS1","Deputy Director","Construction Delivery North East, Yorkshire Humber and East Midlands Deputy Director","Department for Education","Department for Education","Construction Delivery North East, Yorkshire Humber and East Midlands","0370 000 2288","N/D","DFE-2568","3205482","1.00","N/A","N/A","","Other","North East","nan","1"
"DFE-2604","N/D","SCS1","Deputy Director","Central Strategic Finance Deputy Director","Department for Education","Department for Education","Central Strategic Finance","0370 000 2288","N/D","DFE-2159","1052011","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2605","N/D","SCS1","Deputy Director","Higher Education Funding Integrity Deputy Director","Department for Education","Department for Education","Higher Education Funding Integrity","0370 000 2288","N/D","DFE-2307","573410","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2607","N/D","SCS1","Deputy Director","STA Assessment DDaT Deputy Director","Department for Education","Standard and Testing Agency","STA Assessment DDaT","0370 000 2288","N/D","DFE-2135","1151920","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2608","N/D","SCS1","Deputy Director","Major Projects and Risks Deputy Director","Department for Education","Department for Education","Major Projects and Risk","0370 000 2288","N/D","DFE-2497","1093030","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2609","N/D","SCS1","Deputy Director","Funding Policy Implementation Deputy Director","Department for Education","Department for Education","Funding Policy Implementation","0370 000 2288","N/D","DFE-2562","2038080","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2610","N/D","SCS1","Deputy Director","Digital Delivery - Funding Services Deputy Director","Department for Education","Department for Education","Digital Delivery - Funding Services","0370 000 2288","N/D","DFE-2124","2001415","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2611","N/D","SCS1","Deputy Director","Governance, Assurance and Partnerships Deputy Director","Department for Education","Department for Education","Governance, Assurance and Partnerships","0370 000 2288","N/D","DFE-2497","774108","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2613","N/D","SCS1","Deputy Director","Regions Group: Yorkshire & Humber and National CSC and BSiL Deputy Director","Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","0370 000 2288","N/D","DFE-2555","715634","0.68","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2614","Lucy Livings","SCS2","Director","Regions Group: South West Director","Department for Education","Department for Education","Regions Group: South West","0370 000 2288","N/D","DFE-2302","164707","0.90","95000","N/A","","Other","South West","nan","1"
"DFE-2617","N/D","SCS1","Deputy Director","Deputy Director, Workforce Recruitment","Department for Education","Department for Education","Startegy Group","0370 000 2288","N/D","DFE-2098","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2618","N/D","SCS1","Deputy Director","Strategy Unit Deputy Director","Department for Education","Department for Education","Strategy Unit","0370 000 2288","N/D","DFE-2497","1048373","0.70","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2619","N/D","SCS1","Deputy Director","Work Based Skills Operational Delivery Deputy Director","Department for Education","Department for Education","Work Based Skills Operational Delivery","0370 000 2288","N/D","DFE-2129","2953423","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2620","N/D","SCS1","Deputy Director","Sector Skills Deputy Director","Department for Education","Department for Education","Skills Group","0370 000 2288","N/D","DFE-2367","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2621","Patrick Carey","SCS2","Director","Director of School Workforce Directorate","Department for Education","Department for Education","School Workforce Directorate","0370 000 2288","N/D","DFE-2017","630748","1.00","115000","N/A","","Other","London","nan","1"
"DFE-2623","N/D","SCS1","Deputy Director","Construction Programme Management, Planning and Assurance Deputy Director","Department for Education","Department for Education","Construction Programme Management, Planning and Assurance","0370 000 2288","N/D","DFE-2568","1738902","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2624","N/D","SCS1","Deputy Director","Legislation Division Deputy Director","Department for Education","Department for Education","Legislation Division","0370 000 2288","N/D","DFE-2497","926444","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2626","N/D","SCS1","Deputy Director","T Levels Deputy Director","Department for Education","Department for Education","T Levels","0370 000 2288","N/D","DFE-2696","1809394","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2627","N/D","SCS1","Deputy Director","Estates Data Collection and Analysis Deputy Director","Department for Education","Department for Education","Education Estates Data Collection and Analysis","0370 000 2288","N/D","DFE-2598","2716592","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2630","N/D","SCS1","Deputy Director","CS Policy Profession Unit Deputy Director","Department for Education","Department for Education","Policy Lab","0370 000 2288","N/D","DFE-2517","572177","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2631","N/D","SCS1","Deputy Director","CS Policy Profession Unit Deputy Director","Department for Education","Department for Education","Policy Lab","0370 000 2288","N/D","DFE-2517","858402","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2632","N/D","SCS1","Deputy Director","HE Analysis Deputy Director","Department for Education","Department for Education","Higher Education Analysis","0370 000 2288","N/D","DFE-2307","3400169","0.90","N/A","N/A","","Other","London","nan","1"
"DFE-2633","Becca Taber","SCS2","Director","Resilience Director","Department for Education","Department for Education","Resilience and Policy","0370 000 2288","N/D","DFE-2543","224681","1.00","100000","N/A","","Other","London","nan","1"
"DFE-2637","N/D","SCS1","Deputy Director","Supporting and Rewarding Teachers and Leaders Deputy Director","Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","0370 000 2288","N/D","DFE-2621","2340986","0.70","N/A","N/A","","Other","London","nan","1"
"DFE-2638","N/D","SCS1","Deputy Director","CSC Adoption, Family Justice and Alternatives to Care Deputy Director","Department for Education","Department for Education","CSC Adoption, Family Justice and Alternatives to Care","0370 000 2288","N/D","DFE-2671","1536027","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2639","N/D","SCS1","Deputy Director","School Strategy and System Deputy Director","Department for Education","Department for Education","School Strategy and System","0370 000 2288","N/D","DFE-2534","637724","0.91","N/A","N/A","","Other","London","nan","1"
"DFE-2641","N/D","SCS1","Deputy Director","Funding Policy Unit Deputy Director","Department for Education","Department for Education","Funding Policy Unit","0370 000 2288","N/D","DFE-2159","1356849","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2642","N/D","SCS1","Deputy Director","Growth and Skills Levy, Strategy and Engagement Deputy Director","Department for Education","Department for Education","Growth and Skills Levy, Strategy and Engagement","0370 000 2288","N/D","DFE-2129","1672356","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2644","N/D","SCS1","Deputy Director","Early Years Workforce Division Deputy Director","Department for Education","Department for Education","Early Years Workforce Division","0370 000 2288","N/D","DFE-2655","1844648","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2645","N/D","SCS1","Deputy Director","Revenue Funding and Demography Analysis Deputy Director","Department for Education","Department for Education","Revenue Funding and Demography Analysis","0370 000 2288","N/D","DFE-2159","1431693","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2646","N/D","SCS1","Deputy Director","Construction Delivery, North West and West Midlands Deputy Director","Department for Education","Department for Education","Construction Delivery North West and West Midlands","0370 000 2288","N/D","DFE-2568","3070027","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2647","N/D","SCS1","Deputy Director","Inclusive Mainstream Deputy Director","Department for Education","Department for Education","Inclusive Mainstream","0370 000 2288","N/D","DFE-2298","2297064","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2648","N/D","SCS1","Deputy Director","Education Estates Portfolio Oversight Deputy Director","Department for Education","Department for Education","Education Estates Portfolio Oversight and Directorate Support","0370 000 2288","N/D","DFE-2598","1739079","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2649","N/D","SCS1","Deputy Director","Higher Education Quality and Regulation Deputy Director","Department for Education","Department for Education","Higher Education Quality and Regulation","0370 000 2288","N/D","DFE-2307","1111759","1.00","N/A","N/A","","Other","South West","nan","1"
"DFE-2651","N/D","SCS1","Deputy Director","Schools Productivity Unit Deputy Director","Department for Education","Department for Education","Schools Productivity Unit","0370 000 2288","N/D","DFE-2536","1240648","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2652","N/D","SCS1","Deputy Director","Financial Business Partnering: Skills, OIG and Strategy Deputy Director","Department for Education","Department for Education","Financial Business Partnering: Skills, OIG and Strategy","0370 000 2288","N/D","DFE-2159","1514380","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2653","N/D","SCS1","Deputy Director","Careers Deputy Director","Department for Education","Department for Education","Careers Readiness Division","0370 000 2288","N/D","DFE-2306","1679012","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2655","Chris Armstrong-Stacey","SCS2","Director","Director of Early Years","Department for Education","Department for Education","Early Years Directorate","0370 000 2288","N/D","DFE-2101","377093","1.00","100000","N/A","","Other","London","nan","1"
"DFE-2658","N/D","SCS1","Deputy Director","Enterprise Data for Access and Sharing Deputy Director","Department for Education","Department for Education","Enterprise Data for Access and Sharing","0370 000 2288","N/D","DFE-2553","4324040","1.00","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2660","N/D","SCS1","Deputy Director","Lifelong Loan Entitlement Deputy Director","Department for Education","Department for Education","Skills Group","0370 000 2288","N/D","DFE-2307","0","0.90","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2661","N/D","SCS1","Deputy Director","Regions Group: South West Deputy Director","Department for Education","Department for Education","Regions Group: South West","0370 000 2288","N/D","DFE-2614","2672800","0.89","N/A","N/A","","Other","South West","nan","1"
"DFE-2662","N/D","SCS1","Deputy Director","Behaviour, Exclusions and School Food Deputy Director","Department for Education","Department for Education","Behaviour, Exclusions and School Food","0370 000 2288","N/D","DFE-2326","1985486","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2664","N/D","SCS1","Deputy Director","Digital Delivery - Schools Deputy Director","Department for Education","Department for Education","Digital Delivery - Schools","0370 000 2288","N/D","DFE-2124","1654491","1.00","N/A","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2665","N/D","SCS1","Deputy Director","Future Student Finance and Funding​ Deputy Director","Department for Education","Department for Education","Future Student Finance and Funding​","0370 000 2288","N/D","DFE-2307","838689","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2667","Kiera Harper","SCS2","Director","Director of Technical Qualifications and Essential Skills","Department for Education","Department for Education","Technical Qualifications and Essential Skills","0370 000 2288","N/D","DFE-2137","0","0.60","65000","N/A","","Other","London","nan","1"
"DFE-2668","N/D","SCS1","Deputy Director","FE Workforce Deputy Director","Department for Education","Department for Education","FE Workforce","0370 000 2288","N/D","DFE-2019","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2669","N/D","SCS1","Deputy Director","Strategy Unit Deputy Director","Department for Education","Department for Education","Strategy Unit","0370 000 2288","N/D","DFE-2497","0","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2670","N/D","SCS1","Deputy Director","Developing Teachers and Leaders Deputy Director","Department for Education","Department for Education","Developing Teachers and Leaders","0370 000 2288","N/D","DFE-2621","3163128","0.90","N/A","N/A","","Other","London","nan","1"
"DFE-2671","Helen Waite","SCS2","Director","Director of CSC","Department for Education","Department for Education","CSC Strategy and Care System","0370 000 2288","N/D","DFE-2101","540064","1.00","100000","N/A","","Other","Yorkshire and The Humber","nan","1"
"DFE-2676","N/D","SCS1","Deputy Director","HR Systems, Recruitment and Service Centre Deputy Director","Department for Education","Department for Education","HR Systems, Recruitment & Service Centre","0370 000 2288","N/D","DFE-2566","1897437","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2677","N/D","SCS1","Deputy Director","Get Into Teaching Deputy Director","Department for Education","Department for Education","Get Into Teaching","0370 000 2288","N/D","DFE-2621","1268963","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2679","N/D","SCS1","Deputy Director","Social Justice and Disadvantage Deputy Director","Department for Education","Department for Education","Admissions, Participation and Student Experience Division","0370 000 2288","N/D","DFE-2306","0","0.90","N/A","N/A","","Other","North West","nan","1"
"DFE-2682","Gemma Marsh","SCS2","Director","Deputy CEO of Skills England","Department for Education","Skills England","Skills England - Deputy CEO","0370 000 2288","N/D","DFE-2522","917319","1.00","120000","N/A","","Other","West Midlands","nan","1"
"DFE-2684","N/D","SCS1","Deputy Director","Commercial Delivery Deputy Director","Department for Education","Department for Education","Commercial Delivery","0370 000 2288","N/D","DFE-2536","1037595","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2685","N/D","SCS1","Deputy Director","Creative, Digital, Finance and Business Deputy Director","Department for Education","Skills England","Creative, Digital, Finance and Business","0370 000 2288","N/D","DFE-2682","1486349","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2686","N/D","SCS1","Deputy Director","Clean Energy, Life Sciences Deputy Director","Department for Education","Skills England","Clean Energy, Life Sciences","0370 000 2288","N/D","DFE-2682","1617292","1.00","N/A","N/A","","Other","North West","nan","1"
"DFE-2688","N/D","SCS1","Deputy Director","Estates Private Finance Deputy Director","Department for Education","Department for Education","Operations and Infrastructure Group","0370 000 2288","N/D","DFE-2598","0","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2689","N/D","SCS1","Deputy Director","Reform and Development Deputy Director","Department for Education","Skills England","Reform and Development","0370 000 2288","N/D","DFE-2682","2077361","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2691","N/D","SCS1","Deputy Director","Corporate Governance and Performance Deputy Director","Department for Education","Skills England","Corporate Governance and Performance","0370 000 2288","N/D","DFE-2522","1742151","0.80","N/A","N/A","","Other","London","nan","1"
"DFE-2692","N/D","SCS1","Deputy Director","Digital and Analytical Services Deputy Director","Department for Education","Department for Education","Digital and Analytical Services","0370 000 2288","N/D","DFE-2124","749552","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2693","N/D","SCS1","Deputy Director","Delivery and Reform Deputy Director","Department for Education","Skills England","Advanced Manufacturing, Defence and Construction","0370 000 2288","N/D","DFE-2682","1676529","0.80","N/A","N/A","","Other","West Midlands","nan","1"
"DFE-2694","N/D","SCS1","Deputy Director","Digital Strategy Deputy Director","Department for Education","Department for Education","Digital Strategy","0370 000 2288","N/D","DFE-2385","1303561","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2695","N/D","SCS1","Deputy Director","School Strategy and System Deputy Director","Department for Education","Department for Education","School Analysis Systems and Strategy","0370 000 2288","N/D","DFE-2312","3177054","1.00","N/A","N/A","","Other","London","nan","1"
"DFE-2696","Jane Belfourd","SCS2","Director","Director of Technical Qualifications and Essential Skills","Department for Education","Department for Education","Technical Qualifications and Essential Skills","0370 000 2288","N/D","DFE-2137","347879","0.60","60000","N/A","","Other","London","nan","1"
"DFE-2697","James Cox","SCS2","Director","ALB strategic advisor","Department for Education","Department for Education","Strategy Group","0370 000 2288","N/D","DFE-2543","0","1.00","115000","N/A","","Other","London","nan","1"
"DFE-2698","N/D","SCS1","Deputy Director","Private Office Deputy Director","Department for Education","Department for Education","Private Office","0370 000 2288","N/D","DFE-2543","2222825","1.00","N/A","N/A","","Other","London","nan","1"
